id,type,time_ms,size_bytes
1,REST,863.2,2719
1,GraphQL,1001.024,81
2,REST,1021.957,2670
2,GraphQL,1275.966,80
3,REST,1121.685,2352
3,GraphQL,918.443,81
4,REST,922.853,2350
4,GraphQL,912.727,79
5,REST,784.007,2214
5,GraphQL,945.784,80
6,REST,652.323,480
6,GraphQL,983.867,94
7,REST,663.754,575
7,GraphQL,908.39,87
8,REST,874.024,433
8,GraphQL,1128.644,84
9,REST,917.382,511
9,GraphQL,1021.177,83
10,REST,1019.675,465
10,GraphQL,1000.85,78
11,REST,941.386,497
11,GraphQL,1016.204,83
12,REST,1019.789,472
12,GraphQL,919.504,77
13,REST,767.651,452
13,GraphQL,967.547,83
14,REST,1121.967,434
14,GraphQL,1027.617,82
15,REST,910.513,433
15,GraphQL,1123.964,81
16,REST,1097.89,454
16,GraphQL,1147.446,80
17,REST,917.183,471
17,GraphQL,1636.085,74
18,REST,915.249,498
18,GraphQL,1020.817,82
19,REST,815.259,403
19,GraphQL,1020.132,83
20,REST,1122.539,478
20,GraphQL,1039.608,94
21,REST,897.885,492
21,GraphQL,976.587,84
22,REST,858.516,536
22,GraphQL,1021.604,83
23,REST,917.735,623
23,GraphQL,1120.264,83
24,REST,1121.436,493
24,GraphQL,1011.498,80
25,REST,623.719,506
25,GraphQL,1273.067,77
26,REST,968.134,485
26,GraphQL,1428.842,78
27,REST,919.663,478
27,GraphQL,1121.141,81
28,REST,851.302,530
28,GraphQL,986.65,83
29,REST,1018.742,455
29,GraphQL,1019.215,78
30,REST,919.02,396
30,GraphQL,951.313,95
31,REST,989.172,453
31,GraphQL,1094.828,79
32,REST,943.954,456
32,GraphQL,1122.904,80
33,REST,885.189,470
33,GraphQL,950.495,73
34,REST,918.908,532
34,GraphQL,1020.38,85
35,REST,1132.394,609
35,GraphQL,968.673,77
36,REST,1061.712,391
36,GraphQL,963.11,79
37,REST,873.812,483
37,GraphQL,1019.34,81
38,REST,917.488,787
38,GraphQL,1021.302,79
39,REST,1053.532,526
39,GraphQL,1304.464,79
40,REST,1148.463,498
40,GraphQL,968.175,99
41,REST,832.456,504
41,GraphQL,1021.883,104
42,REST,614.323,458
42,GraphQL,943.87,85
43,REST,887.503,429
43,GraphQL,1123.65,77
44,REST,814.643,436
44,GraphQL,1020.1,84
45,REST,588.889,469
45,GraphQL,1043.238,73
46,REST,859.437,444
46,GraphQL,976.319,76
47,REST,588.935,757
47,GraphQL,1452.856,79
48,REST,815.66,476
48,GraphQL,1261.37,79
49,REST,881.173,436
49,GraphQL,1333.154,75
50,REST,555.235,452
50,GraphQL,1275.993,78
